Year,Query emissions (g),Task
2023,0.4262924874329999,Question answering
2023,0.426439898,Fill mask
2023,0.426999249,Question answering
2023,0.42802333,Question answering
2023,0.428886772,Question answering
2023,0.429849126,Fill mask
2023,0.431095213,Fill mask
2023,0.432019006,Fill mask
2023,0.432328666,Question answering
2023,0.4328194446150999,Fill mask
2023,0.433183837,Fill mask
2023,0.435338307,Fill mask
2023,0.438735613,Fill mask
2023,0.438813033,Fill mask
2023,0.439618062,Fill mask
2023,0.441369711,Question answering
2023,0.441587014,Question answering
2023,0.444473537,Fill mask
2023,0.444771153,Fill mask
2023,0.444894657,Fill mask
2023,0.446758184,Fill mask
2023,0.446817259,Fill mask
2023,0.454845915,Fill mask
2023,0.454936041,Fill mask
2023,0.455118523,Fill mask
2023,0.455812713,Fill mask
2023,0.456276863,Fill mask
2023,0.45660506,Fill mask
2023,0.4586259339621999,Fill mask
2023,0.4590186391126999,Fill mask
2023,0.4590872905429999,Fill mask
2023,0.460009652,Fill mask
2023,0.467020619,Fill mask
2023,0.472597716,Question answering
2023,0.476734143,Fill mask
2023,0.4781685051313999,Fill mask
2023,0.478595039,Fill mask
2023,0.480625317,Fill mask
2023,0.481766563,Token classification
2023,0.482233491,Token classification
2023,0.482988848,Token classification
2023,0.484122101,Token classification
2023,0.484641658,Fill mask
2023,0.486042654,Fill mask
2023,0.486986028,Fill mask
2023,0.487448568,Fill mask
2023,0.487697403,Token classification
2023,0.4886896119496999,Token classification
2023,0.4887792562367999,Token classification
2023,0.4902037349823999,Fill mask
2023,0.490520612,Fill mask
2023,0.494499667,Fill mask
2023,0.494630906,Token classification
2023,0.495443019,Fill mask
2023,0.503961928,Token classification
2023,0.505119158,Token classification
2023,0.505280288,Token classification
2023,0.505884138,Token classification
2023,0.506345457,Token classification
2023,0.508249524,Fill mask
2023,0.509176208,Token classification
2023,0.509945808,Fill mask
2023,0.510998522,Fill mask
2023,0.5119745618327001,Token classification
2023,0.5125139198984999,Token classification
2023,0.514663448,Token classification
2023,0.515117537,Fill mask
2023,0.516585496,Fill mask
2023,0.519299252,Fill mask
2023,0.519430067,Token classification
2023,0.5277869276353999,Token classification
2023,0.530742643,Token classification
2023,0.531494983,Token classification
2023,0.532194485,Token classification
2023,0.533144324,Fill mask
2023,0.5340309014786999,Token classification
2023,0.5354204188180001,Token classification
2023,0.535650724,Fill mask
2023,0.535664404,Token classification
2023,0.536181451,Fill mask
2023,0.538019399,Token classification
2023,0.540181296,Token classification
2023,0.5426445558267999,Fill mask
2023,0.5548356848481001,Token classification
2023,0.5603447688668001,Token classification
2023,0.57189425,Fill mask
2023,0.574544462,Fill mask
2023,0.577150602,Fill mask
2023,0.580053672,Fill mask
2023,0.580619332,Fill mask
2023,0.581518451,Fill mask
2023,0.582715589,Text classification
2023,0.583360435,Fill mask
2023,0.583448085,Fill mask
2023,0.584481141,Fill mask
2023,0.585468303,Fill mask
2023,0.5869521780838001,Text classification
2023,0.588936103,Token classification
2023,0.589531579,Token classification
2023,0.590247016,Token classification
2023,0.590467525,Text classification
2023,0.590908628,Token classification
2023,0.590993807,Text classification
2023,0.593141344,Token classification
2023,0.593996349,Text classification
2023,0.5941299454098999,Text classification
2023,0.59512147,Token classification
2023,0.5953543906923999,Token classification
2023,0.595567094,Token classification
2023,0.596081741,Token classification
2023,0.59711102,Token classification
2023,0.597502045,Token classification
2023,0.598243283,Text classification
2023,0.5988059174864999,Token classification
