Statement,Country,% agreeing with statement
I trust that companies that use artificial intelligence will protect my personal data,Turkey,57%
I know which types of products and services use artificial intelligence,Turkey,71%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,Turkey,63%
I trust companies that use artificial intelligence as much as I trust other companies,Turkey,65%
I trust artificial intelligence to not discriminate or show bias towards any group of people,Turkey,63%
Products and services using artificial intelligence have more benefits than drawbacks,Turkey,67%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,Turkey,81%
I have a good understanding of what artificial intelligence is,Turkey,73%
Products and services using artificial intelligence make me excited,Turkey,74%
I trust that companies that use artificial intelligence will protect my personal data,United States,32%
I have a good understanding of what artificial intelligence is,United States,67%
Products and services using artificial intelligence will profoundly change my daily life in the next 3–5 years,United States,57%
I trust artificial intelligence to not discriminate or show bias towards any group of people,United States,38%
Products and services using artificial intelligence have more benefits than drawbacks,United States,37%
Products and services using artificial intelligence make me excited,United States,36%
I trust companies that use artificial intelligence as much as I trust other companies,United States,36%
Products and services using artificial intelligence make me nervous,United States,63%
I know which types of products and services use artificial intelligence,United States,35%
Products and services using artificial intelligence have profoundly changed my daily life in the past 3–5 years,United States,34%
